sourceTaxonName,targetTaxonName,author,year,journal
Canis lupus,Macropus rufus,Vernes et al,2020,Journal of Arid Environments
Canis lupus,Notomys fuscus,Vernes et al,2020,Journal of Arid Environments
Canis lupus,Bos taurus,Vernes et al,2020,Journal of Arid Environments
Canis lupus,Canis lupus,Vernes et al,2020,Journal of Arid Environments
Canis lupus,Haliastur sphenurus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Tadorna radjah,Doherty et al,2015,Journal of Biogeography
Canis lupus,Anseranas semipalmata,Doherty et al,2015,Journal of Biogeography
Canis lupus,Burhinus grallarius,Doherty et al,2015,Journal of Biogeography
Canis lupus,Sterna bergii,Doherty et al,2015,Journal of Biogeography
Canis lupus,Alcedo or Todiramphus sp,Doherty et al,2015,Journal of Biogeography
Canis lupus,Dacelo novaeguineae,Doherty et al,2015,Journal of Biogeography
Canis lupus,Leipoa ocellata,Doherty et al,2015,Journal of Biogeography
Canis lupus,Gallus gallus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Acanthiza uropygialis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Aphelocephala sp,Doherty et al,2015,Journal of Biogeography
Canis lupus,Hirundo neoxena,Doherty et al,2015,Journal of Biogeography
Canis lupus,Cincloramphus cruralis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Malurus cyaneus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Malurus splendens,Doherty et al,2015,Journal of Biogeography
Canis lupus,Menura novaehollandiae,Doherty et al,2015,Journal of Biogeography
Canis lupus,Anthus richardi,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pachyptila turtur,Doherty et al,2015,Journal of Biogeography
Canis lupus,Calyptorhynchus sp,Doherty et al,2015,Journal of Biogeography
Canis lupus,Platycercus venustus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Alisterus scapularis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Trichoglossus haematodus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Eudyptula minor,Doherty et al,2015,Journal of Biogeography
Canis lupus,Ctenophorus pictus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Lophognathus gilberti,Doherty et al,2015,Journal of Biogeography
Canis lupus,Tympanocryptis lineata,Doherty et al,2015,Journal of Biogeography
Canis lupus,Ctenotus grandis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Tiliqua rugosa,Doherty et al,2015,Journal of Biogeography
Canis lupus,Tiliqua scincoides,Doherty et al,2015,Journal of Biogeography
Canis lupus,Varanus spenceri,Doherty et al,2015,Journal of Biogeography
Canis lupus,Varanus varius,Doherty et al,2015,Journal of Biogeography
Canis lupus,Caretta caretta,Doherty et al,2015,Journal of Biogeography
Canis lupus,Chelonia mydas,Doherty et al,2015,Journal of Biogeography
Canis lupus,Eretmochelys imbricata,Doherty et al,2015,Journal of Biogeography
Canis lupus,Lepidochelys olivacea,Doherty et al,2015,Journal of Biogeography
Canis lupus,Antechinomys laniger,Doherty et al,2015,Journal of Biogeography
Canis lupus,Antechinus agilis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Antechinus flavipes,Doherty et al,2015,Journal of Biogeography
Canis lupus,Antechinus stuartii,Doherty et al,2015,Journal of Biogeography
Canis lupus,Antechinus swainsonii,Doherty et al,2015,Journal of Biogeography
Canis lupus,Dasycercus blythi,Doherty et al,2015,Journal of Biogeography
Canis lupus,Dasykaluta rosamondae,Doherty et al,2015,Journal of Biogeography
Canis lupus,Dasyuroides byrnei,Doherty et al,2015,Journal of Biogeography
Canis lupus,Ningaui timealeyi,Doherty et al,2015,Journal of Biogeography
Canis lupus,Ningaui yvonnae,Doherty et al,2015,Journal of Biogeography
Canis lupus,Phascogale tapoatafa,Doherty et al,2015,Journal of Biogeography
Canis lupus,Planigale maculata,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pseudantechinus bilarni,Doherty et al,2015,Journal of Biogeography
Canis lupus,Sminthopsis leucopus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Sminthopsis murina,Doherty et al,2015,Journal of Biogeography
Canis lupus,Acrobates pygmaeus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Burramys parvus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Cercartetus caudatus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Cercartetus nanus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Dactylopsila trivirgata,Doherty et al,2015,Journal of Biogeography
Canis lupus,Petaurus breviceps,Doherty et al,2015,Journal of Biogeography
Canis lupus,Petaurus norfolcensis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Notoryctes caurinus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Notoryctes typhlops,Doherty et al,2015,Journal of Biogeography
Canis lupus,Isoodon auratus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Mastacomys fuscus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Melomys burtoni,Doherty et al,2015,Journal of Biogeography
Canis lupus,Melomys cervinipes,Doherty et al,2015,Journal of Biogeography
Canis lupus,Notomys fuscus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Notomys mitchellii,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pseudomys apodemoides,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pseudomys australis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pseudomys delicatulus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pseudomys fumeus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pseudomys gracilicaudatus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pseudomys nanus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pseudomys novaehollandiae,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pseudomys oralis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Rattus colletti,Doherty et al,2015,Journal of Biogeography
Canis lupus,Rattus fuscipes,Doherty et al,2015,Journal of Biogeography
Canis lupus,Rattus leucopus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Rattus lutreolus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Rattus rattus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Rattus sordidus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Rattus tunneyi,Doherty et al,2015,Journal of Biogeography
Canis lupus,Zyzomys argurus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Zyzomys woodwardi,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pteropus alecto,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pteropus conspicillatus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pteropus poliocephalus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Dasyurus hallucatus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Dasyurus maculatus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Dendrolagus lumholtzi,Doherty et al,2015,Journal of Biogeography
Canis lupus,Lagorchestes conspicillatus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Lagorchestes hirsutus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Macropus parma,Doherty et al,2015,Journal of Biogeography
Canis lupus,Onychogalea fraenata,Doherty et al,2015,Journal of Biogeography
Canis lupus,Onychogalea unguifera,Doherty et al,2015,Journal of Biogeography
Canis lupus,Petrogale assimilis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Petrogale burbidgei,Doherty et al,2015,Journal of Biogeography
Canis lupus,Petrogale brachyotis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Petrogale herberti,Doherty et al,2015,Journal of Biogeography
Canis lupus,Petrogale lateralis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Petrogale persephone,Doherty et al,2015,Journal of Biogeography
Canis lupus,Petrogale rothschildi,Doherty et al,2015,Journal of Biogeography
Canis lupus,Thylogale stigmatica,Doherty et al,2015,Journal of Biogeography
Canis lupus,Thylogale thetis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Petaurus australis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Trichosurus caninus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Trichosurus cunninghami,Doherty et al,2015,Journal of Biogeography
Canis lupus,Trichosurus vulpecula,Doherty et al,2015,Journal of Biogeography
Canis lupus,Wyulda squamicaudata,Doherty et al,2015,Journal of Biogeography
Canis lupus,Aepyprymnus rufescens,Doherty et al,2015,Journal of Biogeography
Canis lupus,Bettongia lesueur,Doherty et al,2015,Journal of Biogeography
Canis lupus,Bettongia tropica,Doherty et al,2015,Journal of Biogeography
Canis lupus,Hypsiprymnodon moschatus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Potorous longipes,Doherty et al,2015,Journal of Biogeography
Canis lupus,Potorous tridactylus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Hemibelideus lemuroides,Doherty et al,2015,Journal of Biogeography
Canis lupus,Petauroides volans,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pseudochirulus cinereus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pseudochirulus herbertensis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pseudocheirus peregrinus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Pseudochirops archeri,Doherty et al,2015,Journal of Biogeography
Canis lupus,Lepus europaeus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Ornithorhynchus anatinus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Isoodon macrourus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Isoodon obesulus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Macrotis lagotis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Perameles nasuta,Doherty et al,2015,Journal of Biogeography
Canis lupus,Hydromys chrysogaster,Doherty et al,2015,Journal of Biogeography
Canis lupus,Mesembriomys gouldii,Doherty et al,2015,Journal of Biogeography
Canis lupus,Mesembriomys macrurus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Uromys caudimaculatus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Arctocephalus forsteri,Doherty et al,2015,Journal of Biogeography
Canis lupus,Balaenoptera acutorostrata,Doherty et al,2015,Journal of Biogeography
Canis lupus,Megaptera novaeangliae,Doherty et al,2015,Journal of Biogeography
Canis lupus,Orcinus orca,Doherty et al,2015,Journal of Biogeography
Canis lupus,Peponocephala electra,Doherty et al,2015,Journal of Biogeography
Canis lupus,Stenella attenuata,Doherty et al,2015,Journal of Biogeography
Canis lupus,Tursiops aduncus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Kogia breviceps,Doherty et al,2015,Journal of Biogeography
Canis lupus,Physeter macrocephalus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Ziphius cavirostris,Doherty et al,2015,Journal of Biogeography
Canis lupus,Macropus agilis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Macropus antilopinus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Macropus dorsalis,Doherty et al,2015,Journal of Biogeography
Canis lupus,Macropus fuliginosus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Macropus giganteus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Macropus parryi,Doherty et al,2015,Journal of Biogeography
Canis lupus,Macropus bernardus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Macropus rufogriseus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Macropus rufus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Petrogale penicillata,Doherty et al,2015,Journal of Biogeography
Canis lupus,Wallabia bicolor,Doherty et al,2015,Journal of Biogeography
Canis lupus,Phascolarctos cinereus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Lasiorhinus krefftii,Doherty et al,2015,Journal of Biogeography
Canis lupus,Lasiorhinus latifrons,Doherty et al,2015,Journal of Biogeography
Canis lupus,Vombatus ursinus,Doherty et al,2015,Journal of Biogeography
Canis lupus,Dugong dugon,Doherty et al,2015,Journal of Biogeography
