TaxonName	body mass	Activity.Nocturnal	Activity.Diurnal	Activity.Crepuscular	flight	eat_plants	eat_verts	eat_invs	ForStrat.watbelowsurf	ForStrat.wataroundsurf	ForStrat.ground	ForStrat.understory	ForStrat.midhigh	ForStrat.canopy	ForStrat.aerial	PelagicSpecialist	_marine_mam	_ground_mam	_scansorial_mam	_arboreal_mam	_aerial_mam
Acanthagenys rufogularis	47.8	0	1	0	1	1	1	1	0	0	10	20	40	20	10	0	0	0	0	0	0
Epthianura crocea	9.3	0	1	0	1	0	0	1	0	0	50	50	0	0	0	0	0	0	0	0	0
Falco hypoleucos	457.2	0	1	0	1	0	1	1	0	0	40	20	20	0	20	0	0	0	0	0	0
Malurus leucopterus	7.4	0	1	0	1	1	0	1	0	0	40	60	0	0	0	0	0	0	0	0	0
Anthus novaeseelandiae	24.07	0	1	0	1	1	0	1	0	0	100	0	0	0	0	0	0	0	0	0	0
Oreoica gutturalis	62.8	0	1	0	1	1	0	1	0	0	80	20	0	0	0	0	0	0	0	0	0
Corvus bennetti	389	0	1	0	1	1	1	1	0	0	90	0	0	0	10	0	0	0	0	0	0
Accipiter cirrocephalus	165.73	0	1	0	1	0	1	1	0	0	0	10	80	10	0	0	0	0	0	0	0
Epthianura tricolor	10.7	0	1	0	1	1	0	1	0	0	80	20	0	0	0	0	0	0	0	0	0
Oryctolagus cuniculus	1832.22	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Charadrius veredus	95	0	1	0	1	1	0	1	0	0	100	0	0	0	0	0	0	0	0	0	0
Grus rubicunda	6222.82	0	1	0	1	1	1	1	0	50	50	0	0	0	0	0	0	0	0	0	0
Gymnorhina tibicen	284.87	0	1	0	1	0	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0
Milvus migrans	734.1	0	1	0	1	0	1	0	0	20	60	0	0	0	20	0	0	0	0	0	0
Accipiter fasciatus	358.66	0	1	0	1	0	1	1	0	0	50	0	30	20	0	0	0	0	0	0	0
Pseudomys hermannsburgensis	12	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Manorina flavigula	55.9	0	1	0	1	1	0	1	0	0	10	10	40	30	10	0	0	0	0	0	0
Eremiornis carteri	12.2	0	1	0	1	1	0	1	0	0	100	0	0	0	0	0	0	0	0	0	0
Sus scrofa	96118.09	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Certhionyx variegatus	26.27	0	1	0	1	1	0	1	0	0	0	30	30	30	10	0	0	0	0	0	0
Taphozous hilli	22	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Aegotheles cristatus	42.78	1	0	0	1	0	0	1	0	0	60	10	10	10	10	0	0	0	0	0	0
Coturnix pectoralis	101.86	0	1	0	1	1	0	1	0	0	80	20	0	0	0	0	0	0	0	0	0
Pardalotus rubricatus	10.9	0	1	0	1	0	0	1	0	0	0	0	30	70	0	0	0	0	0	0	0
Cracticus nigrogularis	128	0	1	0	1	1	1	1	0	0	80	10	10	0	0	0	0	0	0	0	0
Psophodes occidentalis	39.64	0	1	0	1	1	0	1	0	0	100	0	0	0	0	0	0	0	0	0	0
Hamirostra melanosternon	1196	0	1	0	1	0	1	1	0	0	33	33	33	0	0	0	0	0	0	0	0
Pteropus scapulatus	405.96	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Anas gracilis	488.11	0	1	0	1	1	0	1	0	100	0	0	0	0	0	0	0	0	0	0	0
Petroica goodenovii	8.9	0	1	0	1	0	0	1	0	0	60	40	0	0	0	0	0	0	0	0	0
Ardeotis australis	4182.35	0	1	0	1	1	1	1	0	0	80	20	0	0	0	0	0	0	0	0	0
Chalinolobus gouldii	14.47	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Scotorepens greyii	10	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Charadrius australis	83.5	0	1	0	1	0	0	1	0	0	80	20	0	0	0	0	0	0	0	0	0
Falco berigora	587.01	0	1	0	1	0	1	1	0	0	30	20	30	0	20	0	0	0	0	0	0
Hieraaetus morphnoides	775.05	0	1	0	1	0	1	1	0	0	70	0	10	10	10	0	0	0	0	0	0
Lichenostomus penicillatus	19.36	0	1	0	1	1	0	1	0	0	10	20	60	0	10	0	0	0	0	0	0
Falco cenchroides	170.47	0	1	0	1	0	1	1	0	0	70	20	10	0	0	0	0	0	0	0	0
Phalacrocorax sulcirostris	994.98	0	1	0	1	0	1	1	100	0	0	0	0	0	0	0	0	0	0	0	0
Antechinomys laniger	25.57	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Recurvirostra novaehollandiae	325	0	1	0	1	1	0	1	0	50	50	0	0	0	0	0	0	0	0	0	0
Himantopus himantopus	176.82	0	1	0	1	0	0	1	0	100	0	0	0	0	0	0	0	0	0	0	0
Lichenostomus virescens	23.33	0	1	0	1	1	0	1	0	0	20	60	20	0	0	0	0	0	0	0	0
Phalacrocorax varius	1940.65	0	1	0	1	0	1	1	100	0	0	0	0	0	0	0	0	0	0	0	0
Notomys alexis	35	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Microeca fascinans	14.47	0	1	0	1	0	0	1	0	0	50	30	20	0	0	0	0	0	0	0	0
Daphoenositta chrysoptera	11.7	0	1	0	1	0	0	1	0	0	0	20	20	60	0	0	0	0	0	0	0
Hirundo ariel	10.84	0	1	0	1	0	0	1	0	0	0	0	0	20	80	0	0	0	0	0	0
Tadorna tadornoides	1418.68	0	1	0	1	1	1	1	0	50	50	0	0	0	0	0	0	0	0	0	0
Phaps chalcoptera	330.74	0	1	0	1	1	0	1	0	0	60	40	0	0	0	0	0	0	0	0	0
Circus approximans	746.19	0	1	0	1	0	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0
Aprosmictus erythropterus	136	0	1	0	1	1	0	1	0	0	0	40	40	20	0	0	0	0	0	0	0
Dasycercus blythi	85	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Corvus coronoides	644.3	0	1	0	1	1	1	1	0	0	100	0	0	0	0	0	0	0	0	0	0
Falco longipennis	249.81	0	1	0	1	0	1	1	0	0	0	33	33	0	33	0	0	0	0	0	0
Tyto alba	403.32	1	0	0	1	0	1	1	0	0	90	10	0	0	0	0	0	0	0	0	0
Aquila audax	3449.86	0	1	0	1	0	1	0	0	0	70	0	0	30	0	0	0	0	0	0	0
Sminthopsis hirtipes	15	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Falco peregrinus	759.95	0	1	0	1	0	1	1	0	0	20	20	20	20	20	0	0	0	0	0	0
Saccolaimus flaviventris	42.13	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Geopelia placida	47.8	0	1	0	1	1	0	1	0	0	100	0	0	0	0	0	0	0	0	0	0
Leggadina forresti	20	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Phylidonyris albifrons	17.4	0	1	0	1	1	0	1	0	0	0	70	10	10	10	0	0	0	0	0	0
Planigale gilesi	9.2	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Ardea pacifica	881	0	1	0	1	0	1	1	0	100	0	0	0	0	0	0	0	0	0	0	0
Falco subniger	776.04	0	1	0	1	0	1	1	0	0	40	20	20	0	20	0	0	0	0	0	0
Dasyurus geoffroii	1100	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Ningaui ridei	8.5	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Pomatostomus superciliosus	41.53	0	1	0	1	1	1	1	0	0	70	20	10	0	0	0	0	0	0	0	0
Colluricincla harmonica	65.8	0	1	0	1	1	1	1	0	0	30	20	50	0	0	0	0	0	0	0	0
Geophaps plumifera	94.33	0	1	0	1	1	0	1	0	0	100	0	0	0	0	0	0	0	0	0	0
Chrysococcyx basalis	23.12	0	1	0	1	1	0	1	0	0	20	20	40	20	0	0	0	0	0	0	0
Camelus dromedarius	601000	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Ninox novaeseelandiae	183.37	1	0	0	1	0	1	1	0	0	30	20	20	20	10	0	0	0	0	0	0
Planigale tenuirostris	6.05	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Cincloramphus cruralis	49.22	0	1	0	1	1	0	1	0	0	80	20	0	0	0	0	0	0	0	0	0
Sminthopsis youngsoni	10.1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Artamus cinereus	35.6	0	1	0	1	0	0	1	0	0	10	0	10	0	80	0	0	0	0	0	0
Fulica atra	717.12	0	1	0	1	1	1	1	50	50	0	0	0	0	0	0	0	0	0	0	0
Pseudantechinus macdonnellensis	32.5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Platalea flavipes	1741.26	0	1	0	1	1	1	1	0	100	0	0	0	0	0	0	0	0	0	0	0
Todiramphus pyrrhopygius	51.7	0	1	0	1	0	1	1	20	0	70	10	0	0	0	0	0	0	0	0	0
