targetTaxonName	sourceTaxonName	authors_source	Year	Journal
Nymphicus hollandicus	Falco hypoleucos	 Janse et al	2015	Corella
Rattus villosissimus	Elanus scriptus	3rd year Dickman Lab project reports: n = ~500	unpublished data	
Melopsittacus undulatus	Elanus scriptus	3rd year Dickman Lab project reports: n = ~500	unpublished data	
Taeniopygia guttata	Elanus scriptus	3rd year Dickman Lab project reports: n = ~500	unpublished data	
Stiltia isabella	Elanus scriptus	3rd year Dickman Lab project reports: n = ~500	unpublished data	
Aegotheles cristatus	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Aprosmictus erythropterus	Hamirostra melanosternon	Aumann	2016	Corella
Artamus cinereus	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Artamus personatus	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Barnardius zonarius	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Barnardius zonarius	Falco berigora	Aumann	2001	Wildlife Research
Cacatua roseicapilla	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Canis lupus	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Chalinolobus gouldii	Falco berigora	Aumann	2001	Wildlife Research
Cracticus nigrogularis	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Dasycercus cristicauda	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Dendrocygna eytoni	Hamirostra melanosternon	Aumann	2016	Corella
Eurostopodus argus	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Falco longipennis	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Fulica atra	Aquila audax	Aumann	2001	Wildlife Research
Geopelia cuneata	Falco cenchroides	Aumann	2001	Wildlife Research
Grallina cyanoleuca	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Gymnorhina tibicen	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Leggadina forresti	Falco cenchroides	Aumann	2001	Wildlife Research
Lerista labialis	Falco cenchroides	Aumann	2001	Wildlife Research
Macropus robustus	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Macropus robustus	Aquila audax	Aumann	2001	Wildlife Research
Malurus lamberti	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Melopsittacus undulatus	Falco cenchroides	Aumann	2001	Wildlife Research
Merops ornatus	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Ningaui ridei	Falco berigora	Aumann	2001	Wildlife Research
Ningaui ridei	Falco cenchroides	Aumann	2001	Wildlife Research
Nyctophilus geoffroyi	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Ocyphaps lophotes	Falco berigora	Aumann	2001	Wildlife Research
Oryctolagus cuniculus	Aquila audax	Aumann	2001	Wildlife Research
Oryctolagus cuniculus	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Phaps chalcoptera	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Pseudomys hermannsburgensis	Falco cenchroides	Aumann	2001	Wildlife Research
Pseudonaja nuchalis	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Pseudonaja nuchalis	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Pygopus nigriceps	Falco berigora	Aumann	2001	Wildlife Research
Rattus villosissimus	Falco cenchroides	Aumann	2001	Wildlife Research
Sminthopsis crassicaudata	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Sminthopsis crassicaudata	Falco cenchroides	Aumann	2001	Wildlife Research
Sminthopsis crassicaudata	Aquila audax	Aumann	2001	Wildlife Research
Sminthopsis macroura	Falco cenchroides	Aumann	2001	Wildlife Research
Sminthopsis macroura	Falco berigora	Aumann	2001	Wildlife Research
Sus scrofa	Hamirostra melanosternon	Aumann	2016	Corella
Tachyglossus aculeatus	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Taeniopygia guttata	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Turnix velox	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Varanus acanthurus	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Varanus acanthurus	Falco berigora	Aumann	2001	Wildlife Research
Varanus giganteus	Aquila audax	Aumann	2001	Wildlife Research
Varanus gouldii	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Varanus tristis	Falco berigora	Aumann	2001	Wildlife Research
Varanus tristis	Falco cenchroides	Aumann	2001	Wildlife Research
Vulpes vulpes	Hamirostra melanosternon	Aumann	2001	Wildlife Research
Anthus novaeseelandiae	Falco cenchroides	Bollen	1991	Australian Bird Watcher
Nephrurus levis	Varanus gouldii	Bolton and Moseby	2004	Pacific Conservation Biology
Ctenotus dux	Pseudonaja modesta	Bouskila & Dickman	unpublished data	
Ctenotus helenae	Pseudonaja modesta	Bouskila & Dickman	unpublished data	
Diplodactylus laevis	Pseudonaja modesta	Bouskila & Dickman	unpublished data	
Nephrurus levis	Suta punctata	Bouskila & Dickman	unpublished data	
Ramphotyphlops endoterus	Suta punctata	Bouskila & Dickman	unpublished data	
Ctenotus pantherinus	Pseudonaja mengdeni	Bouskila & Dickman	unpublished data	
Notaden nichollsi	Pseudechis australis	Bouskila & Dickman	unpublished data	
Pseudomys hermannsburgensis	Pseudonaja mengdeni	Bouskila & Dickman	unpublished data	
Pseudomys hermannsburgensis	Pseudechis australis	Bouskila & Dickman	unpublished data	
Sminthopsis hirtipes	Pseudonaja mengdeni	Bouskila & Dickman	unpublished data	
Turnix velox	Pseudechis australis	Bouskila & Dickman	unpublished data	
Accipiter fasciatus	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Anthus novaeseelandiae	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Artamus cinereus	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Barnardius zonarius	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Cacatua roseicapilla	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Canis lupus	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Chenonetta jubata	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Colluricincla harmonica	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Corvus bennetti	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Corvus coronoides	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Demansia psammophis	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Dromaius novaehollandiae	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Falco berigora	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Falco cenchroides	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Geopelia cuneata	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Grallina cyanoleuca	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Gymnorhina tibicen	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Moloch horridus	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Ninox novaeseelandiae	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Phaps chalcoptera	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Podargus strigoides	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Sus scrofa	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Tadorna tadornoides	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Turnix velox	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Tyto alba	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Vanellus tricolor	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Vulpes vulpes	Aquila audax	Brooker and Ridpath	1980	Australian Wildlife Research
Mus musculus	Aspidites ramsayi	Bruton	2013	Memoirs of the Queensland Museum-Nature
Oryctolagus cuniculus	Aspidites ramsayi	Bruton	2013	Memoirs of the Queensland Museum-Nature
Varanus gouldii	Aspidites ramsayi	Bruton	2013	Memoirs of the Queensland Museum-Nature
Ctenotus brooksi	Ctenotus helenae	Bytheway & Dickman	unpublished data	
Heteronotia binoei	Ctenotus pantherinus	Bytheway & Dickman	unpublished data	
Lerista labialis	Ctenotus pantherinus	Bytheway & Dickman	unpublished data	
Lerista labialis	Ctenotus helenae	Bytheway & Dickman	unpublished data	
Lerista xanthura	Eremiascincus phantasmus	Bytheway & Dickman	unpublished data	
